Keyword,Intent,Position,SF,Traffic,Traffic %,Volume,KD %,URL,Updated
dt3 vita,IT,1,9,11.8K,15.78,14.8K,23,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,4 days
cadeira dt3,CN,1,5,5.3K,7.04,6.6K,46,dt3.com/,4 days
dt3,IN,,7,4.4K,5.80,22.2K,46,dt3.com/,3 days
cadeira ergonomica,CI,3,7,3.9K,5.13,110K,32,dt3.com/cadeira-ergonomica,Sep 14
dt3 cadeira,IT,1,6,2.9K,3.84,3.6K,21,dt3.com/,3 days
dt3 cadeiras,CN,1,6,2.9K,3.84,3.6K,41,dt3.com/,2 days
dt3,IN,,7,2.5K,3.31,22.2K,46,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita-super/?variant=1080042557&pf=mc,3 days
cadeira gamer dt3,IT,1,7,1.9K,2.56,2.4K,24,dt3.com/cadeira-ergonomica/cadeira-gamer-ergonomica,Aug 17
dt3 ergonomie,C,1,7,1.9K,2.56,2.4K,24,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-ergonomie,Aug 13
cadeira diana,I,1,9,1.3K,1.78,5.4K,23,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-diana,2 days
dt3 cadeira gamer,T,1,7,1.3K,1.70,1.6K,33,dt3.com/cadeira-ergonomica/cadeira-gamer-ergonomica,Aug 21
dt3 diana,I,1,8,1.3K,1.70,1.6K,28,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-diana,Aug 26
dt3office,IN,1,5,1.3K,1.70,1.6K,33,dt3.com/,Aug 20
dt3 vita super,C,1,7,1K,1.38,1.3K,30,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita-super,Aug 20
cadeira dt3 gamer,T,1,7,1K,1.38,1.3K,23,dt3.com/cadeira-ergonomica/cadeira-gamer-ergonomica,Aug 21
cadeira ergonomica dt3,IT,1,8,1K,1.38,1.3K,31,dt3.com/cadeira-ergonomica/cadeira-de-escritorio-ergonomica,Aug 20
dt3 moira,I,1,7,800,1.06,1K,28,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-moira/,Aug 24
cadeiras ergonomicas,C,1,7,719,0.95,2.9K,22,dt3.com/cadeira-ergonomica,Sep 12
dt3 helora,IT,1,6,704,0.93,880,36,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-helora1,Sep 03
dt3 alera,I,1,7,704,0.93,880,25,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-alera,Aug 21
cadeira dt3 atria,IT,1,7,704,0.93,880,27,dt3.com/produtos/cadeira-dt3-atria,2 days
cadeiradiana,I,1,9,580,0.77,4.4K,30,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-diana,3 days
dt3,IN,1,7,577,0.76,22.2K,46,dt3.com/,3 days
dt3 nero,IT,1,7,576,0.76,720,22,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-nero,Aug 19
dt3 n10,C,1,7,576,0.76,720,30,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-n10,Sep 04
dt3 maya,IT,1,7,576,0.76,720,22,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-maya,Jul 28
cadeira dt3 ergonomie,I,1,8,472,0.62,590,19,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-ergonomie,Aug 28
dt3 royce,IT,1,7,472,0.62,590,22,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-royce,Aug 29
dt3 frost,IT,1,8,472,0.62,590,21,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-frost,Aug 31
dt3. vita,I,1,6,396,0.52,1.6K,25,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Jul 31
cadeira dt3 ergonomica,IT,1,7,384,0.51,480,24,dt3.com/cadeira-ergonomica/cadeira-de-escritorio-ergonomica,Aug 29
cadeiras dt3,CN,1,6,384,0.51,480,43,dt3.com/,Sep 11
dt3 nero xl,I,1,7,384,0.51,480,26,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-nero,Jul 28
dt3 azzera,I,1,8,384,0.51,480,29,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-azzera,Aug 15
dt3,IN,,7,372,0.49,22.2K,46,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-nero/?variant=1103220350&pf=mc,3 days
dt3,IN,,7,372,0.49,22.2K,46,dt3.com/,3 days
cadeira de escritorio ergonomica,CI,3,8,343,0.45,18.1K,34,dt3.com/,3 days
dt3 sports,IT,1,7,312,0.41,390,23,dt3.com/,Jul 28
dt3 chrono,I,1,8,312,0.41,390,25,dt3.com/produtos/cadeira-gamer-dt3-chrono,Sep 01
dt3sport,IN,1,6,312,0.41,390,31,dt3.com/,Aug 13
dt3 elise,I,1,9,312,0.41,390,20,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-elise,Sep 13
cadeira ergonômica dt3,IT,1,6,312,0.41,390,28,dt3.com/cadeira-ergonomica,Aug 05
cadeira escritório ergonômica,CI,3,8,266,0.35,12.1K,24,dt3.com/cadeira-ergonomica,Sep 15
dt3 rhino,IT,1,7,257,0.34,9.9K,22,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-rhino,Sep 13
dt3 hyperflow,IT,1,8,256,0.34,320,27,dt3.com/produtos/gabinete-gamer-dt3-hyperflow,Aug 24
dt3 ergonomie home,IT,1,9,256,0.34,320,28,dt3.com/produtos/cadeiradeescritorio-ergonomica-dt3-ergonomiehome,4 days
cadeira office dt3 vita,C,1,7,256,0.34,320,28,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Aug 18
gabinete dt3,CI,1,8,256,0.34,320,29,dt3.com/descontinuados/gabinetes,Jul 29
dt3 diana plus,C,1,6,256,0.34,320,19,dt3.com/produtos/cadeiradeescritorio-ergonomica-dt3-dianaplus,Aug 21
cadeira ortopédica,C,2,7,234,0.31,3.6K,15,dt3.com/cadeira-ergonomica,Aug 19
cadeira ergonomie dt3,IT,1,7,208,0.27,260,23,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-ergonomie,Sep 14
dt3 yura,C,1,6,208,0.27,260,33,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-yura/,Sep 11
ergonomie dt3,I,1,7,208,0.27,260,26,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-ergonomie,Sep 14
dt3 vicenza,I,1,7,208,0.27,260,29,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vicenza,Jul 29
cadeira gamer dt3 sports,IT,1,8,208,0.27,260,21,dt3.com/cadeira-ergonomica/cadeira-gamer-ergonomica,Sep 11
cadeira dt3 sports,IT,1,7,208,0.27,260,19,dt3.com/cadeira-ergonomica/cadeira-gamer-ergonomica,Sep 07
dt3 ergonomia,NT,1,7,208,0.27,260,19,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-ergonomie,2 days
dt3 atria,IT,1,7,208,0.27,260,32,dt3.com/produtos/cadeira-dt3-atria,Aug 28
dt3 diana v2,I,1,7,208,0.27,260,29,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-diana,Aug 16
dt3 unic-m,IT,1,7,208,0.27,260,37,dt3.com/produtos/cadeiradeescritorio-ergonomica-dt3-unicm,Aug 09
cadeira ergonômica,CI,1,8,178,0.23,9.9K,33,dt3.com/cadeira-ergonomica,3 days
cadeira gamer,CI,26,8,172,0.22,246K,44,dt3.com/,1 day
cadeira ergonómica,C,1,7,171,0.22,1.3K,28,dt3.com/cadeira-ergonomica,Aug 22
dt3 n10 xl,T,1,5,168,0.22,210,29,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-n10,Aug 31
dt3 vitta,I,1,10,168,0.22,210,33,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Aug 27
cadeira rhino dt3,T,1,6,168,0.22,210,18,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-rhino,2 days
cadeira de escritório ergonômica dt3,C,1,6,168,0.22,210,13,dt3.com/cadeira-ergonomica/cadeira-de-escritorio-ergonomica,Aug 19
dt3 elise fabric,I,1,6,168,0.22,210,21,dt3.com/produtos/elise-fabric,Jul 30
cadeiras gamer dt3 sports,IT,1,5,168,0.22,210,23,dt3.com/cadeira-ergonomica/cadeira-gamer-ergonomica,Aug 07
cadeira dt3 sports gaming,IT,1,5,168,0.22,210,25,dt3.com/cadeira-ergonomica/cadeira-gamer-ergonomica,Jul 31
dt3 vita grey frame,C,1,6,168,0.22,210,22,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Aug 24
cadeir ergnomica,C,3,7,156,0.20,2.4K,28,dt3.com/cadeira-ergonomica,Jul 30
ergonômica,I,3,6,154,0.20,4.4K,27,dt3.com/cadeira-ergonomica,3 days
dt3 vita,IT,2,9,148,0.19,14.8K,23,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita-super,4 days
dt3 rhino,IT,2,7,138,0.18,9.9K,22,dt3.com/cadeira-ergonomica/cadeira-gamer-ergonomica,Sep 13
dt3 ergonomie 4d,I,1,8,136,0.18,170,22,dt3.com/produtos/cadeirade-escritorio-ergonomicadt3-ergonomie4d,Sep 05
cadeira office dt3 ergonomie ft,C,1,7,136,0.18,170,30,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-ergonomie,2 days
dt3 iryna,I,1,8,136,0.18,170,24,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-iryna,Aug 31
gabinete dt3 hyperflow,IT,1,9,136,0.18,170,28,dt3.com/produtos/gabinete-gamer-dt3-hyperflow,Aug 31
cadeira dt,CN,1,5,136,0.18,170,42,dt3.com/,Aug 28
dt3 glacius,I,1,9,136,0.18,170,21,dt3.com/produtos/cadeira-dt3-glacius,1 day
gamer dt3 f40 v2 aço,I,1,8,136,0.18,170,20,dt3.com/produtos/mesa-comregulagem-dealtura-dt3-f-40,Sep 14
dt3 valor,I,1,8,136,0.18,170,19,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-valor,Aug 30
dt3 nero elite,IT,1,9,136,0.18,170,21,dt3.com/produtos/cadeira-gamer-dt3-nero-elite,Aug 02
dt3 vita cadeira,C,1,7,136,0.18,170,28,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Aug 05
vita dt3,IT,1,8,136,0.18,170,19,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,3 days
diana dt3,IT,1,7,136,0.18,170,35,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-diana/,Aug 02
dt3 hyperflow mini-tower,C,1,5,136,0.18,170,25,dt3.com/produtos/gabinete-gamer-dt3-hyperflow,Sep 04
dt3 ergoone,C,1,7,136,0.18,170,19,dt3.com/produtos/cadeira-ergonomica-dt3-ergoone,Aug 16
cadeira de escritório ergonômica,CI,5,9,128,0.17,9.9K,24,dt3.com/cadeira-ergonomica,Sep 14
cadeira de escritório ergonômica dt3 vita,C,1,7,112,0.14,140,31,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Aug 28
dt3 ergonomie 5d,I,1,7,112,0.14,140,22,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-ergonomie,17 hours
cadeira diana dt3,IT,1,8,112,0.14,140,22,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-diana,Sep 09
cadeira dt3 rhino,IT,1,6,112,0.14,140,24,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-rhino,Jul 31
cadeira d3,NT,1,8,112,0.14,140,39,dt3.com/,Aug 26
cadeira office dt3,IT,1,5,112,0.14,140,15,dt3.com/cadeira-ergonomica/cadeira-de-escritorio-ergonomica,Aug 28
dt3 cadeira ergonomica,IT,1,8,112,0.14,140,30,dt3.com/cadeira-ergonomica/cadeira-de-escritorio-ergonomica,Aug 27
mesa dt3,N,1,9,112,0.14,140,23,dt3.com/mesa-com-regulagem-de-altura,Aug 02
dt3 alera plus,C,1,7,112,0.14,140,21,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-alera,Jul 27
cadeira dt3 maya,I,1,8,112,0.14,140,29,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-maya,Aug 18
cadeira vita dt3,IT,1,9,112,0.14,140,31,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Sep 04
n10 dt3,I,1,6,112,0.14,140,25,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-n10,Sep 06
dt3 vita super h,CI,1,7,112,0.14,140,24,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita-super,Sep 12
