Select all keywords,Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (BRL),Com.,SF,Results,Updated
cadeira gamer,cadeira gamer​,C,60,0,"246,000",,n/a,n/a,44,0.57,1.00,6,199,1 month
cadeira de escritorio,cadeira de escritorio​,C,67,0,"201,000",,n/a,n/a,29,1.19,1.00,7,200,1 month
cadeira,cadeira​,C,100,0,"110,000",,n/a,n/a,32,1.35,1.00,7,198,1 month
cadeira ergonomica,cadeira ergonomica​,C,60,0,"110,000",,n/a,n/a,32,0.98,1.00,8,189,1 month
cadeira escritorio,cadeira escritorio​,C,64,0,"110,000",,n/a,n/a,30,1.61,1.00,7,200,1 month
poltrona,poltrona​,IC,57,0,"110,000",,n/a,n/a,25,0.83,1.00,7,22.2K,1 month
poltrona para sala,poltrona para sala​,I,53,0,"90,500",,n/a,n/a,30,0.57,1.00,7,197,1 month
cadeiras para mesa de jantar,cadeiras para mesa de jantar​,I,56,0,"40,500",,n/a,n/a,19,0.47,1.00,7,192,1 month
cadeira de escritório,cadeira de escritório​,C,63,0,"27,100",,n/a,n/a,27,1.50,1.00,6,199,1 month
cadeiras,cadeiras​,I,81,0,"27,100",,n/a,n/a,24,1.35,1.00,7,200,1 month
cadeira presidente,cadeira presidente​,C,58,0,"22,200",,n/a,n/a,12,1.14,1.00,8,190,1 month
mesa de canto,mesa de canto​,I,49,0,"22,200",,n/a,n/a,28,0.41,1.00,8,193,1 month
cadeira de escritorio ergonomica,cadeira de escritorio ergonomica​,C,62,0,"18,100",,n/a,n/a,27,1.71,1.00,7,191,1 month
cadeira de madeira,cadeira de madeira​,I,55,0,"18,100",,n/a,n/a,14,0.47,1.00,5,196,1 month
cadeira escritório,cadeira escritório​,C,63,0,"18,100",,n/a,n/a,24,1.66,1.00,6,194,1 month
cadeira para escritorio,cadeira para escritorio​,C,64,0,"18,100",,n/a,n/a,32,1.30,1.00,7,199,1 month
cadeira para mesa de jantar,cadeira para mesa de jantar​,I,58,0,"18,100",,n/a,n/a,18,0.47,1.00,8,150,1 month
mesa lateral,mesa lateral​,I,53,0,"18,100",,n/a,n/a,13,0.93,1.00,6,199,1 month
poltronas,poltronas​,I,53,0,"18,100",,n/a,n/a,25,0.83,1.00,7,197,1 month
poltronas para sala,poltronas para sala​,I,50,0,"18,100",,n/a,n/a,30,0.47,1.00,6,122,1 month
cadeira allegra,cadeira allegra​,I,57,0,"14,800",,n/a,n/a,10,0.57,1.00,9,196,1 month
cadeira de jantar,cadeira de jantar​,C,62,0,"14,800",,n/a,n/a,21,0.57,1.00,7,201,1 month
cabideiro de chão,cabideiro de chão​,I,49,0,"12,100",,n/a,n/a,23,0.41,1.00,8,197,1 month
cadeira ergonomica escritório,cadeira ergonomica escritório​,C,62,0,"12,100",,n/a,n/a,32,1.55,1.00,7,191,1 month
cadeira escritório ergonômica,cadeira escritório ergonômica​,C,63,0,"12,100",,n/a,n/a,24,1.55,1.00,6,194,1 month
cadeira gamer barata,cadeira gamer barata​,C,57,0,"12,100",,n/a,n/a,41,0.31,1.00,6,192,1 month
cadeiras para sala de jantar,cadeiras para sala de jantar​,I,53,0,"12,100",,n/a,n/a,21,0.57,1.00,8,151,1 month
mesinha de canto,mesinha de canto​,I,50,0,"12,100",,n/a,n/a,27,0.47,1.00,7,193,1 month
poltrona para quarto,poltrona para quarto​,C,50,0,"12,100",,n/a,n/a,25,0.41,1.00,9,192,1 month
poltrona sala,poltrona sala​,C,51,0,"12,100",,n/a,n/a,28,0.57,1.00,7,198,1 month
cadeira de escritório ergonômica,cadeira de escritório ergonômica​,C,63,0,"9,900",,n/a,n/a,23,1.45,1.00,8,192,1 month
cadeira ergonômica,cadeira ergonômica​,C,64,0,"9,900",,n/a,n/a,29,1.24,1.00,7,188,1 month
cadeira giratoria,cadeira giratoria​,IC,66,0,"9,900",,n/a,n/a,19,0.98,1.00,8,190,1 month
cadeira mesa de jantar,cadeira mesa de jantar​,I,60,0,"9,900",,n/a,n/a,15,0.47,1.00,6,202,1 month
cadeira para escrivaninha,cadeira para escrivaninha​,IC,61,0,"9,900",,n/a,n/a,26,0.47,1.00,6,225,1 month
cadeiras de escritorio,cadeiras de escritorio​,C,61,0,"9,900",,n/a,n/a,29,1.19,1.00,9,199,1 month
cadeiras para cozinha,cadeiras para cozinha​,IT,53,0,"9,900",,n/a,n/a,16,0.41,1.00,6,n/a,1 month
mesa de canto para sala,mesa de canto para sala​,I,48,0,"9,900",,n/a,n/a,18,0.41,1.00,7,195,1 month
mesinha,mesinha​,IC,39,0,"9,900",,n/a,n/a,16,0.47,1.00,8,204,1 month
cadeira area externa,cadeira area externa​,C,55,0,"8,100",,n/a,n/a,23,0.57,1.00,7,195,1 month
cadeira cozinha,cadeira cozinha​,IT,54,0,"8,100",,n/a,n/a,19,0.41,1.00,8,179,1 month
cadeira eiffel,cadeira eiffel​,I,55,0,"8,100",,n/a,n/a,18,0.41,1.00,8,199,1 month
cadeira escritório presidente,cadeira escritório presidente​,I,62,0,"8,100",,n/a,n/a,21,1.19,1.00,8,203,1 month
cadeira gamer ergonomica,cadeira gamer ergonomica​,IC,55,0,"8,100",,n/a,n/a,30,0.67,1.00,7,156,1 month
cadeira jantar,cadeira jantar​,I,63,0,"8,100",,n/a,n/a,12,0.78,1.00,7,n/a,1 month
cadeiras de jantar,cadeiras de jantar​,I,56,0,"8,100",,n/a,n/a,16,0.57,1.00,7,196,1 month
cadeiras escritório,cadeiras escritório​,C,61,0,"8,100",,n/a,n/a,27,1.61,1.00,7,196,1 month
poltrona decorativa,poltrona decorativa​,IC,46,0,"8,100",,n/a,n/a,18,0.52,1.00,7,198,1 month
poltrona gamer,poltrona gamer​,I,46,0,"8,100",,n/a,n/a,31,0.47,1.00,9,188,1 month
cadeira acapulco,cadeira acapulco​,I,55,0,"6,600",,n/a,n/a,27,0.52,1.00,9,191,1 month
cadeira de escritório confortável,cadeira de escritório confortável​,C,60,0,"6,600",,n/a,n/a,26,1.55,1.00,7,195,1 month
cadeira ergonomica gamer,cadeira ergonomica gamer​,IC,53,0,"6,600",,n/a,n/a,39,0.57,1.00,9,184,1 month
cadeira escritorio confortavel,cadeira escritorio confortavel​,C,63,0,"6,600",,n/a,n/a,32,0.98,1.00,8,191,1 month
