Keyword,Intent,Position,SF,Traffic,Traffic %,Volume,KD %,URL,Updated
cadeira de escritorio,C,1,7,26.5K,16.54,201K,34,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 15
flexform,N,,8,9.7K,6.04,49.5K,46,www.flexform.com.br/,Sep 14
cadeira escritorio,C,1,7,7.4K,4.62,90.5K,28,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,3 days
cadeira ergonomica,CI,2,7,7.2K,4.45,110K,32,www.flexform.com.br/,Sep 14
poltrona,I,2,8,7.2K,4.45,110K,27,www.flexform.com.br/moveis/sala/poltronas,Sep 14
flexform,N,,8,5.5K,3.45,49.5K,46,www.flexform.com.br/,Sep 14
cadeira de escritório,I,1,7,3.6K,2.22,27.1K,26,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,3 days
mesa de escritorio,I,2,7,3.3K,2.02,74K,28,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio,1 day
flexform cadeira,NT,1,6,2.9K,1.79,3.6K,31,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,15 hours
cadeira para escritorio,T,1,7,2.4K,1.48,18.1K,27,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 14
flexform cadeiras,NT,1,7,1.9K,1.19,2.4K,36,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 22
flexform uni,IT,1,8,1.5K,0.94,1.9K,25,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,Aug 22
cadeira de escritorio ergonomica,CI,1,8,1.5K,0.92,18.1K,34,www.flexform.com.br/,3 days
cadeira escritório,C,1,7,1.5K,0.92,18.1K,24,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 13
cadeiras de escritorio,C,1,7,1.3K,0.81,9.9K,26,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,4 days
flexform,N,1,8,1.3K,0.80,49.5K,46,www.flexform.com.br/,Sep 14
cadeira gamer,CI,6,8,1.2K,0.76,246K,44,www.flexform.com.br/gaming,1 day
erme,I,1,6,1.1K,0.66,8.1K,16,www.flexform.com.br/institucional/cadeira-de-escritorio/cadeira-de-escritorio-erme,Sep 15
mesa escritorio,IT,5,7,972,0.60,40.5K,22,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio,Sep 15
cadeira secretaria,C,1,6,892,0.55,3.6K,21,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 13
cadeira dot,CI,1,9,871,0.54,6.6K,35,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-dot-graphite,1 day
flex form,IN,,9,862,0.53,4.4K,42,www.flexform.com.br/,Sep 14
cadeira escritorio flexform,IT,1,8,800,0.49,1K,30,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 23
cadeira para escritório flexform,NT,1,7,800,0.49,1K,27,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 25
flexform tecton,I,1,6,800,0.49,1K,19,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-tecton-all-black,Aug 29
cadeiras flexform,NT,1,6,800,0.49,1K,39,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 18
cadeira escritório ergonômica,CI,2,8,786,0.49,12.1K,24,www.flexform.com.br/,Sep 15
cadeira ergonomica escritório,I,2,7,786,0.49,12.1K,33,www.flexform.com.br/,Sep 13
cadeira ergonomica escritório,I,,7,735,0.45,12.1K,33,www.flexform.com.br/,Sep 13
cadeiras escritório,C,1,7,664,0.41,8.1K,26,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 15
cadeiras escritorio,C,1,6,595,0.37,2.4K,28,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 21
cadeira dot flexform,IT,1,9,576,0.35,720,32,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-dot-graphite,Sep 05
cadeira ergonomica flexform,NT,1,6,576,0.35,720,43,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 12
cadeira flexform uni,IT,1,7,576,0.35,720,31,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,Jul 27
cadeira de escritório flexform,IT,1,7,576,0.35,720,29,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 31
tecton flexform,I,1,8,576,0.35,720,19,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-tecton-all-black-unique,Jul 28
cadeira flex form,NT,1,7,576,0.35,720,27,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 28
flexform dot,I,1,6,576,0.35,720,28,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-dot-graphite,Sep 08
uni pro all black da flexform,IT,1,7,576,0.35,720,29,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,2 days
cadeiras para gamers,CI,2,8,518,0.32,14.8K,39,www.flexform.com.br/gaming,3 days
flex form,IN,,9,492,0.30,4.4K,42,www.flexform.com.br/,Sep 14
erme,I,,6,492,0.30,8.1K,16,www.flexform.com.br/institucional/cadeira-de-escritorio/cadeira-de-escritorio-erme,Sep 15
mesas escritorio,CI,1,7,475,0.29,3.6K,14,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio,3 days
cadeiras para home office,I,1,9,472,0.29,590,24,www.flexform.com.br/,Aug 29
cadeira flexform escritorio,NT,1,10,472,0.29,590,27,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 26
flexform uni pro,IT,1,7,472,0.29,590,22,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-pro-all-black,Aug 13
cadeira escritorio,C,,7,470,0.29,90.5K,28,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,3 days
cadeira de escritório ergonômica,CI,2,9,435,0.27,9.9K,24,www.flexform.com.br/,Sep 14
cadeira para escritorio ergonomica,I,1,9,429,0.26,6.6K,27,www.flexform.com.br/,4 days
cadeira home office,C,,9,403,0.25,3.6K,36,www.flexform.com.br/,Sep 12
cadeira dot,CI,,9,401,0.24,6.6K,35,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-dot-sky-blue,1 day
cadeira ergonomica gamer,CI,,8,401,0.24,6.6K,22,www.flexform.com.br/gaming,3 days
mesa para escritorio,IT,6,6,398,0.24,18.1K,19,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio,Sep 13
cadeira uni,C,1,8,396,0.24,1.6K,33,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,Jul 30
cadeira ergométrica,C,1,7,382,0.23,2.9K,34,www.flexform.com.br/,Aug 25
cadeira ergometrica,I,1,7,382,0.23,2.9K,25,www.flexform.com.br/,Aug 07
sofas modulares,C,1,7,382,0.23,2.9K,16,www.flexform.com.br/moveis/sala/sofas-modulares,Aug 21
cadeira computador,I,1,7,360,0.22,4.4K,23,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 13
cadeiras para escritorio,C,2,8,351,0.21,5.4K,26,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 15
cadeira para escritório,I,1,8,351,0.21,5.4K,28,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 14
sofa cama 2 lugares,I,3,8,343,0.21,18.1K,21,www.flexform.com.br/moveis/sala/sofas/sofa-2-lugares-vittoria,Sep 13
what is a rattan chair,I,13,7,330,0.20,110K,33,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-my-chair-bege,2 days
cadeira simples escritorio,CI,1,7,322,0.20,1.3K,24,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 23
cadeira confortavel,I,1,8,316,0.19,2.4K,28,www.flexform.com.br/,Aug 23
cadeiras de escritório,C,1,6,316,0.19,2.4K,28,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 25
cadeir ergnomica,C,1,7,316,0.19,2.4K,28,www.flexform.com.br/,Jul 30
cadeira de estudos,C,1,6,316,0.19,2.4K,26,www.flexform.com.br/,Aug 11
mesas de escritorio,C,1,7,316,0.19,2.4K,12,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio,Aug 18
cadeira office,IT,1,6,316,0.19,2.4K,31,www.flexform.com.br/,Aug 21
cadeira gamer flexform,IT,1,9,312,0.19,390,20,www.flexform.com.br/gaming/cadeiras-gaming,Sep 09
flexform uni all black,I,1,5,312,0.19,390,32,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,Aug 15
cadeira de escritorio flexform,IT,1,7,312,0.19,390,29,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 05
cadeira ortopédica,C,1,7,295,0.18,3.6K,15,www.flexform.com.br/,Aug 19
cadeira gamer ergonomica,CI,2,8,283,0.17,8.1K,35,www.flexform.com.br/gaming,4 days
sofa modular,I,3,10,281,0.17,14.8K,20,www.flexform.com.br/moveis/sala/sofas/sofa-agora-1-branco,Sep 15
flexform guarulhos,IT,1,7,256,0.15,320,27,www.flexform.com.br/institucional/trabalhe-conosco,Jul 30
cadeira ergonômica flexform,NT,1,10,256,0.15,320,26,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Jul 31
cadeira uni flexform,I,1,10,256,0.15,320,25,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,Aug 27
cadeira flexform,NT,1,8,253,0.15,18.1K,31,www.flexform.com.br/cadeiras,Sep 13
cadeiras para escritorio confortaveis,CI,1,7,250,0.15,1.9K,30,www.flexform.com.br/,Aug 25
chair,CI,1,8,237,0.14,5.4K,18,www.flexform.com.br/,Sep 15
cadeiras para games,C,1,6,237,0.14,2.9K,32,www.flexform.com.br/gaming,Aug 25
escritorio de mesa,I,2,7,231,0.14,6.6K,21,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio,3 days
cadeira de escritório confortável,I,1,8,231,0.14,6.6K,36,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,19 hours
cadeira escritório flexform,NT,1,7,208,0.12,260,30,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 17
flexform couch,IT,1,8,208,0.12,260,18,www.flexform.com.br/moveis/sala/sofas,Aug 09
cadeira presidente ergonômica flexform,NT,1,6,208,0.12,260,28,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Jul 27
flexform my chair,N,1,7,208,0.12,260,21,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/my-chair-all-black,Sep 02
